Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700000000,50,,Aggregated,48,0.048,62,69,77,83,90,100.0,114,130.0,162,182,208,480,0,64,70,1,1400,8064
1700000010,50,,Aggregated,50,0.05,62,69,77,83,90,100.0,114,130.0,162,182,208,500,0,64,70,1,1400,8064
1700000020,50,,Aggregated,52,0.052,62,69,77,83,90,100.0,114,130.0,162,182,208,520,1,64,70,1,1400,8064
1700000030,50,,Aggregated,49,0.049,62,69,77,83,90,100.0,114,130.0,162,182,208,490,0,64,70,1,1400,8064
1700000040,50,,Aggregated,51,0.051,62,69,77,83,90,100.0,114,130.0,162,182,208,510,1,64,70,1,1400,8064
1700000050,50,,Aggregated,50,0.05,62,69,77,83,90,100.0,114,130.0,162,182,208,500,0,64,70,1,1400,8064
1700000060,50,,Aggregated,48,0.048,62,69,77,83,90,100.0,114,130.0,162,182,208,480,0,64,70,1,1400,8064
1700000070,50,,Aggregated,50,0.05,62,69,77,83,90,100.0,114,130.0,162,182,208,500,0,64,70,1,1400,8064
1700000080,50,,Aggregated,53,0.053,62,69,77,83,90,100.0,114,130.0,162,182,208,530,1,64,70,1,1400,8064
1700000090,50,,Aggregated,51,0.051,62,69,77,83,90,100.0,114,130.0,162,182,208,510,1,64,70,1,1400,8064
1700000100,50,,Aggregated,49,0.049,62,69,77,83,90,100.0,114,130.0,162,182,208,490,0,64,70,1,1400,8064
1700000110,50,,Aggregated,50,0.05,62,69,77,83,90,100.0,114,130.0,162,182,208,500,0,64,70,1,1400,8064
1700000120,50,,Aggregated,52,0.052,62,69,77,83,90,100.0,114,130.0,162,182,208,520,1,64,70,1,1400,8064
