Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700000000,50,,Aggregated,50,0.1,55,61,68,74,90,100.0,114,130,162,182,208,500,1,60,65,1,160,8064
1700000010,70,,Aggregated,70,0.1,60,67,75,81,99,110.0,126,143,178,200,228,700,1,66,71,1,176,8064
1700000020,90,,Aggregated,90,0.1,68,76,85,91,112,125.0,143,162,202,226,259,900,1,75,81,1,200,8064
1700000030,110,,Aggregated,110,0.1,79,88,98,106,130,145.0,166,188,235,263,300,1100,1,87,94,1,232,8064
1700000040,130,,Aggregated,130,0.1,93,104,116,125,153,170.0,195,221,276,309,353,1300,1,102,110,1,272,8064
1700000050,150,,Aggregated,150,0.1,110,123,137,148,180,200.0,229,260,325,364,416,1500,1,120,130,1,320,8064
1700000060,170,,Aggregated,170,0.1,132,147,165,178,216,240.0,276,312,390,436,499,1700,1,144,156,1,384,8064
1700000070,190,,Aggregated,190,0.1,159,178,198,214,261,290.0,333,377,471,527,603,1900,1,174,188,1,464,8064
1700000080,210,,Aggregated,210,0.1,192,215,240,259,315,350.0,402,455,568,637,728,2100,1,210,227,1,560,8064
1700000090,230,,Aggregated,230,9.5833,231,258,288,311,378,420.0,482,546,682,764,873,2300,96,252,273,1,672,8064
1700000100,250,,Aggregated,250,10.4167,275,308,343,371,450,500.0,575,650,812,909,1040,2500,104,300,325,1,800,8064
1700000110,275,,Aggregated,275,11.4583,319,357,398,430,522,580.0,667,754,942,1055,1206,2750,115,348,377,1,928,8064
1700000120,300,,Aggregated,300,0.1,357,399,446,481,585,650.0,747,845,1056,1183,1352,3000,1,390,422,1,1040,8064
